UserID,ItemID,Rating,number_of_songs,number_of_unique_songs,number_of_unique_genres,genre_ratio,main_genre_dominance,no_stimulus_points,stimulus_points,DrivingStyle_relaxed driving,DrivingStyle_sport driving,landscape_coast line,landscape_country side,landscape_mountains,landscape_urban,mood_active,mood_happy,mood_lazy,mood_sad,naturalphenomena_afternoon,naturalphenomena_day time,naturalphenomena_morning,naturalphenomena_night,RoadType_city,RoadType_highway,RoadType_serpentine,sleepiness_awake,sleepiness_sleepy,trafficConditions_free road,trafficConditions_lots of cars,trafficConditions_traffic jam,weather_cloudy,weather_rainy,weather_snowing,weather_sunny,category name_Blues music,category name_Classical music,category name_Country music,category name_Disco music,category name_Hip Hop music,category name_Jazz music,category name_Metal music,category name_Pop music,category name_Reggae music,category name_Rock music,dominant_genre_Blues music,dominant_genre_Pop music,dominant_genre_Rock music,second_dominant_genre_Blues music,"second_dominant_genre_Blues music, Classical music, Disco music","second_dominant_genre_Blues music, Classical music, Hip Hop music","second_dominant_genre_Blues music, Disco music, Rock music","second_dominant_genre_Blues music, Hip Hop music","second_dominant_genre_Blues music, Metal music, Reggae music",second_dominant_genre_Classical music,"second_dominant_genre_Classical music, Country music","second_dominant_genre_Classical music, Country music, Disco music, Hip Hop music","second_dominant_genre_Classical music, Country music, Disco music, Hip Hop music, Jazz music, Metal music, Rock music","second_dominant_genre_Classical music, Disco music","second_dominant_genre_Classical music, Disco music, Reggae music","second_dominant_genre_Classical music, Hip Hop music, Rock music",second_dominant_genre_Country music,"second_dominant_genre_Country music, Disco music, Rock music","second_dominant_genre_Country music, Jazz music, Rock music",second_dominant_genre_Disco music,"second_dominant_genre_Disco music, Hip Hop music",second_dominant_genre_Jazz music,second_dominant_genre_Metal music
1001,715,2,40,10,6,0.4,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1001,715,2,40,10,6,0.4,0.4,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1001,715,3,40,10,6,0.4,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1001,715,1,40,10,6,0.4,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1002,715,5,120,30,8,0.6,0.6,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1002,715,3,120,30,8,0.6,0.6,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1002,715,4,120,30,8,0.6,0.6,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1002,715,4,120,30,8,0.6,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1006,715,1,396,99,10,0.5656565656565656,0.5656565656565656,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1006,715,3,396,99,10,0.5656565656565656,0.5656565656565656,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
